Date,Budget
01-01-2020,"10,00,000.00"
01-02-2020,"10,00,000.00"
01-03-2020,"10,00,000.00"
01-04-2020,"10,00,000.00"
01-05-2020,"10,00,000.00"
01-06-2020,"10,00,000.00"
01-07-2020,"15,00,000.00"
01-08-2020,"15,00,000.00"
01-09-2020,"15,00,000.00"
01-10-2020,"15,00,000.00"
01-11-2020,"15,00,000.00"
01-12-2020,"15,00,000.00"
01-01-2021,"10,00,000.00"
01-02-2021,"10,00,000.00"
01-03-2021,"10,00,000.00"
01-04-2021,"10,00,000.00"
01-05-2021,"10,00,000.00"
01-06-2021,"10,00,000.00"
01-07-2021,"15,00,000.00"
01-08-2021,"15,00,000.00"
01-09-2021,"15,00,000.00"
01-10-2021,"15,00,000.00"
01-11-2021,"15,00,000.00"
01-12-2021,"15,00,000.00"
01-01-2022,"10,00,000.00"
01-02-2022,"10,00,000.00"
01-03-2022,"10,00,000.00"
01-04-2022,"10,00,000.00"
01-05-2022,"10,00,000.00"
01-06-2022,"10,00,000.00"
01-07-2022,"15,00,000.00"
01-08-2022,"15,00,000.00"
01-09-2022,"15,00,000.00"
01-10-2022,"15,00,000.00"
01-11-2022,"15,00,000.00"
01-12-2022,"15,00,000.00"
